job_id,job_role,experience_level,years_of_experience,education_level,skills,tools_and_technologies,certifications,industry,employment_type,location,company_size,annual_salary_usd,remote_friendly
942,AI Product Manager,Senior,12,Bachelor's,"Strategy, Stakeholder Management, Machine Learning, Roadmapping, Git, Data Analysis, Communication, SQL","Mixpanel, Figma",CSPO,Finance,Internship,"Chicago, IL",Startup,85860,Hybrid
943,Data Engineer,Senior,14,Master's,"Spark, ETL, Visualization, Hadoop, Python, SQL, Pipeline Design",Kafka,AWS Data Analytics,Telecom,Full-time,"Austin, TX",Large,199654,Hybrid
944,ML Engineer,Entry,1,Bachelor's,"CI/CD, PyTorch, Cloud (AWS/GCP/Azure), Problem Solving, Machine Learning","Kubernetes, FastAPI",AWS ML Specialty,Defense,Full-time,Singapore,Mid-size,80113,No
945,Data Scientist,Mid,2,PhD,"Storytelling, Scikit-learn, Git, Feature Engineering, Data Analysis, Python, A/B Testing",Tableau,,Finance,Full-time,"Boston, MA",Large,139357,Yes
946,AI Product Manager,Mid,6,Master's,"Roadmapping, Data Analysis, Visualization, Machine Learning, Product Management, Deep Learning, Communication, SQL",Tableau,,E-commerce,Contract,"Sydney, Australia",Startup,122234,No
947,NLP Engineer,Mid,2,Master's,"Tokenization, Pandas, NLP, Mathematics, Hugging Face, Python, Text Processing","PyTorch, spaCy, Hugging Face",DeepLearning.AI NLP,E-commerce,Remote,"London, UK",Startup,145615,Yes
948,Data Scientist,Senior,9,Bachelor's,"Cloud (AWS/GCP/Azure), Storytelling, Machine Learning, Feature Engineering, Pandas, Communication, Scikit-learn",MLflow,,Insurance,Full-time,"Sydney, Australia",Large,198509,Yes
949,Data Scientist,Entry,0,Master's,"Python, Machine Learning, Cloud (AWS/GCP/Azure), Storytelling, Deep Learning, Mathematics, A/B Testing, Feature Engineering","MLflow, Spark, scikit-learn",,Healthcare,Full-time,"Dublin, Ireland",Large,87881,No
950,Data Scientist,Entry,1,Master's,"Python, Pandas, Machine Learning, Statistics, SQL, Scikit-learn","scikit-learn, Tableau",Google Professional ML Engineer,Finance,Full-time,"Bangalore, India",Mid-size,91489,Hybrid
951,AI Product Manager,Senior,13,Master's,"Data Analysis, Machine Learning, SQL, Pandas, Visualization","Confluence, Mixpanel",,Finance,Remote,"Atlanta, GA",Large,195140,Yes
952,AI Product Manager,Mid,5,Master's,"Communication, SQL, Stakeholder Management, User Research, Machine Learning, Strategy, Product Management, Data Analysis",Tableau,PMI-ACP,Healthcare,Full-time,"Seattle, WA",Mid-size,101790,Yes
953,Data Scientist,Mid,3,PhD,"Feature Engineering, Storytelling, Scikit-learn, Deep Learning, Excel","scikit-learn, Jupyter, Spark",,Finance,Full-time,Singapore,Mid-size,99777,No
954,ML Engineer,Mid,4,Bachelor's,"Python, Cloud (AWS/GCP/Azure), Statistics, Docker, PyTorch, APIs",PyTorch,AWS ML Specialty,Automotive,Full-time,"Denver, CO",Startup,139184,Hybrid
955,Data Scientist,Senior,12,PhD,"Feature Engineering, Scikit-learn, Python, NumPy, SQL, Statistics, Storytelling",MLflow,Google Professional ML Engineer,E-commerce,Full-time,Remote,Startup,198715,Yes
956,ML Engineer,Mid,2,Master's,"Cloud (AWS/GCP/Azure), Kubernetes, Model Deployment, Git, Docker","TensorFlow, Kubernetes, PyTorch",Azure AI Engineer,Automotive,Full-time,"Amsterdam, Netherlands",Large,110578,Yes
957,Computer Vision Engineer,Entry,2,Bachelor's,"Object Detection, Scikit-learn, CUDA, Deep Learning, TensorFlow, Excel, OpenCV, CNNs","PyTorch, TensorFlow",NVIDIA DLI,Defense,Full-time,"Denver, CO",Startup,91857,Hybrid
958,ML Engineer,Senior,8,Master's,"Excel, Docker, CI/CD, Scikit-learn, Machine Learning, Deep Learning, PyTorch","Docker, FastAPI",Azure AI Engineer,Tech,Full-time,Singapore,Large,224237,Yes
959,Quant Researcher,Senior,15,Bachelor's,"Backtesting, Risk Modeling, Derivatives Pricing, Python, Cloud (AWS/GCP/Azure), Stochastic Calculus, Mathematics",KDB+,,Insurance,Full-time,"Chicago, IL",Startup,247233,Yes
960,Data Engineer,Mid,2,Master's,"Machine Learning, Visualization, Pipeline Design, Hadoop, Python, ETL, SQL, Problem Solving",Redshift,,Finance,Full-time,"Chicago, IL",Mid-size,135070,Hybrid
961,ML Engineer,Mid,5,Master's,"Docker, APIs, Model Deployment, PyTorch, Cloud (AWS/GCP/Azure), Communication, Python","Docker, Kubernetes",,Finance,Full-time,"London, UK",Large,150157,Yes
962,NLP Engineer,Entry,2,Master's,"Git, Python, PyTorch, Statistics, Text Processing, Hugging Face",NLTK,Hugging Face Course,Legal,Full-time,"Amsterdam, Netherlands",Mid-size,96164,No
963,NLP Engineer,Mid,6,Master's,"Mathematics, Hugging Face, Deep Learning, Tokenization, BERT",Hugging Face,DeepLearning.AI NLP,E-commerce,Full-time,"New York, NY",Mid-size,140791,Hybrid
964,Quant Researcher,Senior,15,Bachelor's,"Stochastic Calculus, R, Mathematics, Derivatives Pricing, Statistics, Monte Carlo, Deep Learning, Backtesting","Bloomberg, QuantLib",CFA Level I,Finance,Full-time,"London, UK",Large,278457,No
965,Data Scientist,Entry,1,Master's,"A/B Testing, Pandas, Git, Python, Deep Learning, Statistics, Storytelling, Scikit-learn","MLflow, Jupyter",Google Professional ML Engineer,Tech,Full-time,"Austin, TX",Large,88900,Hybrid
966,NLP Engineer,Senior,15,Bachelor's,"Deep Learning, BERT, Text Processing, NLP, Excel, Python",spaCy,,Healthcare,Contract,"Los Angeles, CA",Large,191733,No
967,Data Engineer,Mid,6,Bachelor's,"Hadoop, APIs, Cloud (AWS/GCP/Azure), Pipeline Design, Kafka, Airflow, Visualization, Data Warehousing","dbt, Redshift",Databricks Associate,Tech,Part-time,"Boston, MA",Mid-size,75642,Hybrid
968,AI Product Manager,Entry,0,Bachelor's,"Mathematics, Data Analysis, Product Management, Stakeholder Management, Roadmapping, APIs",Mixpanel,CSPO,Healthcare,Remote,Remote,Large,73204,Yes
969,Computer Vision Engineer,Mid,3,Master's,"Object Detection, Deep Learning, Computer Vision, Python, Image Processing, PyTorch, Communication",OpenCV,,Manufacturing,Remote,"Bangalore, India",Mid-size,158763,Yes
970,AI Researcher,Mid,6,Master's,"Algorithm Design, LaTeX, Machine Learning, Experimentation, Python, PyTorch","PyTorch, SLURM",,Academia,Full-time,"Denver, CO",Startup,130893,Hybrid
971,AI Researcher,Entry,2,Bachelor's,"Mathematics, Deep Learning, NumPy, Scikit-learn, PyTorch, Research",Weights & Biases,ICLR Paper Publication,Defense,Full-time,"Bangalore, India",Large,115211,Yes
972,Data Analyst,Entry,1,Master's,"SQL, Excel, Scikit-learn, Power BI, Visualization, Data Cleaning, Python","Excel, Tableau, Power BI",Tableau Desktop Specialist,Education,Contract,"Austin, TX",Large,81526,Hybrid
973,ML Engineer,Entry,0,Bachelor's,"Model Deployment, Machine Learning, PyTorch, Communication, APIs, CI/CD, Scikit-learn","TensorFlow, FastAPI",AWS ML Specialty,E-commerce,Full-time,"Amsterdam, Netherlands",Mid-size,91729,Hybrid
974,NLP Engineer,Mid,4,PhD,"Python, Text Processing, Cloud (AWS/GCP/Azure), Deep Learning, PyTorch, Excel, Communication, Hugging Face","PyTorch, NLTK",,Healthcare,Full-time,"Dublin, Ireland",Startup,126013,No
975,Data Scientist,Mid,3,PhD,"A/B Testing, Python, Feature Engineering, SQL, Pandas, Cloud (AWS/GCP/Azure), Deep Learning","Spark, scikit-learn",,Finance,Full-time,"London, UK",Startup,101965,Hybrid
976,Data Scientist,Senior,8,Bachelor's,"Deep Learning, Storytelling, Statistics, Feature Engineering, SQL","Spark, Jupyter, scikit-learn",AWS ML Specialty,Healthcare,Full-time,"Seattle, WA",Mid-size,177578,Yes
977,Data Scientist,Senior,6,Bachelor's,"Visualization, SQL, Python, Problem Solving, Scikit-learn, Statistics, Storytelling, A/B Testing",MLflow,,Retail,Contract,"Seattle, WA",Startup,208806,Yes
978,Computer Vision Engineer,Entry,2,Bachelor's,"Excel, TensorFlow, Image Processing, Deep Learning, Object Detection, Python",Roboflow,NVIDIA DLI,Tech,Full-time,"San Francisco, CA",Mid-size,98414,Yes
979,AI Product Manager,Mid,4,Bachelor's,"Agile, SQL, Product Management, Strategy, Roadmapping, Stakeholder Management",Tableau,,Healthcare,Full-time,"Atlanta, GA",Mid-size,113099,No
980,AI Product Manager,Senior,10,Bachelor's,"Product Management, SQL, Roadmapping, Communication, Data Analysis, Agile, User Research, Stakeholder Management","Confluence, Figma, Mixpanel",Google PM Certificate,SaaS,Part-time,"Austin, TX",Mid-size,89698,No
981,Data Engineer,Mid,4,Bachelor's,"Cloud (AWS/GCP/Azure), Airflow, Kafka, SQL, ETL","dbt, Airflow",Databricks Associate,E-commerce,Full-time,"New York, NY",Large,137401,Yes
982,ML Engineer,Mid,4,Bachelor's,"Docker, Excel, PyTorch, APIs, NumPy","Kubernetes, PyTorch",AWS ML Specialty,Automotive,Full-time,"Paris, France",Mid-size,147373,Hybrid
983,Data Analyst,Entry,1,Master's,"Excel, Communication, APIs, Python, Statistics, SQL, Power BI","Google Sheets, Looker, Power BI",Tableau Desktop Specialist,Finance,Full-time,"New York, NY",Large,57442,Hybrid
984,Data Scientist,Senior,15,Bachelor's,"Deep Learning, Git, Statistics, SQL, Pandas, Python","Tableau, scikit-learn, Spark",AWS ML Specialty,Tech,Full-time,"Denver, CO",Large,143270,No
985,ML Engineer,Senior,9,Master's,"NumPy, Python, Model Deployment, Docker, Git, APIs, PyTorch, CI/CD","Kubernetes, TensorFlow, Docker",,Tech,Full-time,"London, UK",Large,171420,No
986,AI Product Manager,Mid,4,Bachelor's,"Communication, Python, Agile, Stakeholder Management, APIs, SQL","Figma, Jira, Tableau",CSPO,Finance,Full-time,Singapore,Mid-size,127840,Hybrid
987,ML Engineer,Mid,5,PhD,"Model Deployment, PyTorch, Excel, Scikit-learn, Cloud (AWS/GCP/Azure), Machine Learning","FastAPI, Docker, PyTorch",Azure AI Engineer,Tech,Full-time,Remote,Startup,143547,Yes
988,NLP Engineer,Senior,14,PhD,"BERT, Tokenization, Text Processing, Hugging Face, NLP",NLTK,Hugging Face Course,Media,Full-time,"Bangalore, India",Large,156577,No
989,ML Engineer,Senior,7,Master's,"APIs, Cloud (AWS/GCP/Azure), Machine Learning, Model Deployment, CI/CD, Problem Solving",Docker,GCP Professional ML,E-commerce,Contract,"New York, NY",Mid-size,201564,Yes
990,Computer Vision Engineer,Entry,0,Bachelor's,"Object Detection, CUDA, Python, NumPy, Image Processing, TensorFlow",TensorFlow,,Defense,Contract,"Dublin, Ireland",Large,104898,Hybrid
991,AI Researcher,Mid,2,Master's,"Deep Learning, Python, PyTorch, LaTeX, Machine Learning, Publications","Overleaf, JAX",ICLR Paper Publication,Tech,Full-time,Remote,Mid-size,155298,Yes
992,ML Engineer,Senior,7,Master's,"Machine Learning, PyTorch, Kubernetes, CI/CD, Python, Model Deployment","TensorFlow, Kubernetes",GCP Professional ML,Tech,Contract,"Amsterdam, Netherlands",Mid-size,176804,No
993,Data Scientist,Mid,3,Master's,"Statistics, Feature Engineering, SQL, Deep Learning, Storytelling, Machine Learning, A/B Testing, Python","scikit-learn, MLflow",AWS ML Specialty,Tech,Full-time,Singapore,Large,108342,Hybrid
994,NLP Engineer,Senior,6,Master's,"Hugging Face, PyTorch, BERT, Deep Learning, Machine Learning, Language Models",NLTK,,Media,Full-time,"Paris, France",Large,217351,Yes
995,AI Researcher,Mid,3,Master's,"APIs, Mathematics, Statistics, Algorithm Design, Python, Publications","JAX, Weights & Biases",NeurIPS Paper,Healthcare,Full-time,"Denver, CO",Mid-size,141368,No
996,ML Engineer,Mid,6,Bachelor's,"Scikit-learn, Docker, Cloud (AWS/GCP/Azure), Visualization, PyTorch","PyTorch, Docker, TensorFlow",GCP Professional ML,Finance,Part-time,"Atlanta, GA",Mid-size,69462,No
997,ML Engineer,Mid,4,Bachelor's,"SQL, Cloud (AWS/GCP/Azure), APIs, Docker, PyTorch, Kubernetes","Docker, FastAPI, PyTorch",GCP Professional ML,Finance,Full-time,"Amsterdam, Netherlands",Mid-size,159407,Yes
998,NLP Engineer,Mid,5,Master's,"Python, Transformers, Mathematics, Pandas, Text Processing, Tokenization",PyTorch,,Finance,Full-time,"Denver, CO",Large,131218,No
999,Data Analyst,Mid,5,PhD,"Tableau, Cloud (AWS/GCP/Azure), Excel, Visualization, SQL","Excel, Looker",,Retail,Remote,"San Francisco, CA",Large,87189,Yes
1000,ML Engineer,Senior,12,PhD,"CI/CD, Python, Scikit-learn, APIs, Cloud (AWS/GCP/Azure), Kubernetes, Machine Learning",Kubernetes,,E-commerce,Internship,"Boston, MA",Large,86624,Yes
1001,Data Analyst,Senior,10,PhD,"Power BI, Mathematics, Communication, Statistics, Reporting, Data Cleaning, Visualization, Business Intelligence",Google Sheets,Tableau Desktop Specialist,Finance,Remote,"Toronto, Canada",Mid-size,144595,Yes
1002,AI Product Manager,Mid,2,Master's,"Statistics, Roadmapping, Pandas, Agile, Product Management, SQL",Tableau,,Education,Contract,"Seattle, WA",Mid-size,118520,Hybrid
1003,NLP Engineer,Mid,4,Bachelor's,"Deep Learning, Hugging Face, PyTorch, Machine Learning, Scikit-learn, BERT, Tokenization",Hugging Face,,E-commerce,Contract,"Boston, MA",Mid-size,116318,Hybrid
1004,Data Engineer,Mid,6,PhD,"Airflow, Python, Spark, Kafka, ETL, SQL, Git, Pipeline Design","Redshift, Airflow, Kafka",GCP Professional Data Engineer,Tech,Part-time,"London, UK",Mid-size,62497,No
1005,ML Engineer,Senior,10,Bachelor's,"Docker, Machine Learning, CI/CD, Scikit-learn, APIs",Docker,AWS ML Specialty,Healthcare,Full-time,"Bangalore, India",Mid-size,181412,Yes
1006,Computer Vision Engineer,Senior,8,Bachelor's,"Cloud (AWS/GCP/Azure), PyTorch, Image Processing, Computer Vision, Excel, Deep Learning, CUDA",Roboflow,NVIDIA DLI,Manufacturing,Full-time,Remote,Large,174303,Yes
1007,Data Scientist,Mid,6,Master's,"Machine Learning, SQL, Pandas, Storytelling, Feature Engineering, A/B Testing",scikit-learn,Google Professional ML Engineer,Finance,Remote,"Toronto, Canada",Large,95336,Yes
1008,Quant Researcher,Entry,2,Master's,"Stochastic Calculus, SQL, Monte Carlo, Backtesting, Python, Mathematics, Communication",R,,Consulting,Full-time,"Berlin, Germany",Startup,106763,Hybrid
1009,AI Product Manager,Entry,1,Master's,"Data Analysis, Machine Learning, User Research, Roadmapping, SQL, Python, Product Management, Strategy","Figma, Confluence, Tableau",PMI-ACP,Education,Full-time,"Berlin, Germany",Large,78155,Hybrid
1010,NLP Engineer,Senior,6,PhD,"Transformers, Scikit-learn, Text Processing, Tokenization, NLP, Python",FastAPI,,Finance,Full-time,"Austin, TX",Mid-size,219534,Hybrid
1011,Data Analyst,Mid,4,PhD,"Data Cleaning, Visualization, Statistics, Tableau, Data Analysis","Looker, Power BI, Excel",Google Data Analytics,Marketing,Internship,"New York, NY",Large,34116,Hybrid
1012,Computer Vision Engineer,Entry,0,Master's,"Python, Computer Vision, TensorFlow, CUDA, Excel, Deep Learning, PyTorch, Cloud (AWS/GCP/Azure)","OpenCV, TensorFlow, PyTorch",AWS ML Specialty,Automotive,Full-time,"Sydney, Australia",Large,83501,Yes
1013,AI Researcher,Mid,6,PhD,"Pandas, LaTeX, Experimentation, Machine Learning, Statistics, Python, Mathematics, Publications",SLURM,,Robotics,Remote,Washington DC,Large,125168,Yes
1014,NLP Engineer,Senior,9,Bachelor's,"Language Models, Scikit-learn, Deep Learning, Hugging Face, Transformers, Tokenization, Visualization",PyTorch,DeepLearning.AI NLP,Tech,Contract,Remote,Large,172830,Yes
1015,Computer Vision Engineer,Entry,1,Bachelor's,"Deep Learning, Data Analysis, CUDA, TensorFlow, Image Processing, OpenCV, Communication, Computer Vision","OpenCV, CUDA, PyTorch",NVIDIA DLI,Defense,Remote,"Toronto, Canada",Large,97845,Yes
1016,AI Product Manager,Mid,2,Master's,"Roadmapping, SQL, Product Management, Machine Learning, APIs, Strategy, Communication",Jira,Google PM Certificate,Tech,Full-time,"Boston, MA",Large,104828,Yes
1017,Data Scientist,Mid,5,Bachelor's,"Machine Learning, Feature Engineering, Python, Linux, Statistics, SQL, A/B Testing, Scikit-learn",Jupyter,AWS ML Specialty,Finance,Full-time,"Sydney, Australia",Large,100749,Hybrid
1018,Data Scientist,Mid,2,PhD,"Visualization, Machine Learning, Scikit-learn, Statistics, A/B Testing, Feature Engineering, Pandas, Deep Learning","scikit-learn, Tableau",Google Professional ML Engineer,Finance,Full-time,"Los Angeles, CA",Large,125151,No
1019,Quant Researcher,Mid,4,Master's,"Mathematics, Derivatives Pricing, Git, Cloud (AWS/GCP/Azure), Monte Carlo, R","QuantLib, KDB+",FRM,Banking,Internship,"Boston, MA",Startup,75358,No
1020,Data Engineer,Senior,11,Master's,"Spark, Python, Scikit-learn, Git, SQL, ETL, Hadoop",dbt,AWS Data Analytics,Finance,Internship,"Chicago, IL",Large,87725,Yes
1021,NLP Engineer,Senior,8,Master's,"Hugging Face, Language Models, Mathematics, Python, NLP, Tokenization, Transformers","NLTK, spaCy, FastAPI",,Legal,Remote,"New York, NY",Startup,178155,Yes
1022,NLP Engineer,Mid,2,Master's,"Tokenization, Transformers, SQL, Python, Hugging Face, BERT, Mathematics",PyTorch,Hugging Face Course,Finance,Full-time,Washington DC,Startup,121075,No
1023,AI Product Manager,Entry,2,Bachelor's,"Roadmapping, Product Management, User Research, Machine Learning, Data Analysis","Figma, Mixpanel",PMI-ACP,Education,Contract,"Paris, France",Mid-size,92669,Hybrid
1024,AI Researcher,Entry,2,Master's,"Mathematics, SQL, LaTeX, Algorithm Design, Communication, Excel, PyTorch, Publications",Weights & Biases,NeurIPS Paper,Tech,Full-time,"London, UK",Large,88222,Yes
1025,Data Engineer,Senior,7,PhD,"Data Warehousing, ETL, Cloud (AWS/GCP/Azure), Pipeline Design, SQL, Kafka","dbt, Kafka",Databricks Associate,Tech,Full-time,Remote,Mid-size,182038,Yes
1026,Data Engineer,Senior,13,Master's,"Visualization, Kafka, Hadoop, Data Warehousing, Airflow","Spark, Kafka, Redshift",Databricks Associate,Logistics,Full-time,"Chicago, IL",Mid-size,178789,Yes
1027,Data Analyst,Entry,0,Master's,"Tableau, Python, Visualization, Power BI, APIs","Google Sheets, Power BI",Tableau Desktop Specialist,Finance,Full-time,Remote,Large,54893,Yes
1028,NLP Engineer,Senior,6,Master's,"Communication, Tokenization, Hugging Face, Deep Learning, PyTorch, Python, BERT, NLP","NLTK, FastAPI",,Media,Full-time,Remote,Large,168221,Yes
1029,Computer Vision Engineer,Mid,2,Master's,"PyTorch, Object Detection, Deep Learning, Computer Vision, Visualization, CUDA, TensorFlow","TensorFlow, PyTorch, Roboflow",NVIDIA DLI,Manufacturing,Full-time,"Bangalore, India",Startup,144029,Yes
1030,AI Researcher,Entry,0,Master's,"PyTorch, Deep Learning, Communication, Algorithm Design, Research","JAX, PyTorch",,Healthcare,Contract,"San Francisco, CA",Startup,129259,No
1031,ML Engineer,Mid,2,Master's,"NumPy, Machine Learning, CI/CD, Kubernetes, Cloud (AWS/GCP/Azure), Python","Docker, FastAPI, TensorFlow",,Tech,Remote,"San Francisco, CA",Mid-size,136531,Yes
1032,Data Scientist,Senior,15,PhD,"SQL, Storytelling, Scikit-learn, NumPy, Statistics, A/B Testing, Deep Learning, Pandas","scikit-learn, Jupyter",AWS ML Specialty,Insurance,Contract,"Bangalore, India",Large,214457,Yes
1033,AI Product Manager,Senior,10,Master's,"Stakeholder Management, Agile, Machine Learning, Product Management, Communication","Mixpanel, Tableau",PMI-ACP,Tech,Full-time,"Chicago, IL",Large,183385,Hybrid
1034,AI Product Manager,Mid,5,Master's,"Roadmapping, Pandas, User Research, Data Analysis, Product Management, Strategy, Stakeholder Management, SQL","Tableau, Mixpanel",CSPO,SaaS,Full-time,"Chicago, IL",Mid-size,130218,Hybrid
1035,ML Engineer,Mid,6,PhD,"Cloud (AWS/GCP/Azure), Communication, Python, NumPy, Model Deployment","Docker, Kubernetes",GCP Professional ML,Healthcare,Full-time,Singapore,Large,147680,Yes
1036,ML Engineer,Senior,6,PhD,"Visualization, Deep Learning, Kubernetes, Machine Learning, Model Deployment, Scikit-learn, PyTorch","Kubernetes, Docker",AWS ML Specialty,Finance,Full-time,"Amsterdam, Netherlands",Startup,212530,Yes
1037,NLP Engineer,Mid,2,Bachelor's,"Data Analysis, Text Processing, APIs, Hugging Face, Python, Mathematics, BERT, Deep Learning","spaCy, NLTK, Hugging Face",,Media,Full-time,Singapore,Mid-size,132192,No
1038,NLP Engineer,Senior,15,PhD,"BERT, Deep Learning, Language Models, Transformers, PyTorch, Text Processing","Hugging Face, FastAPI, NLTK",Hugging Face Course,Finance,Full-time,"New York, NY",Startup,210576,No
1039,ML Engineer,Entry,2,Master's,"Model Deployment, Cloud (AWS/GCP/Azure), Excel, Docker, Kubernetes, PyTorch, CI/CD, APIs",FastAPI,GCP Professional ML,Tech,Full-time,"Toronto, Canada",Large,97712,Hybrid
1040,AI Product Manager,Mid,6,Master's,"Product Management, Roadmapping, Strategy, Agile, Mathematics, Stakeholder Management",Tableau,Google PM Certificate,Education,Full-time,"Bangalore, India",Startup,117874,No
1041,ML Engineer,Senior,12,PhD,"APIs, Docker, PyTorch, Python, SQL, Scikit-learn",Docker,GCP Professional ML,E-commerce,Full-time,"New York, NY",Large,225308,Hybrid
1042,AI Researcher,Senior,11,PhD,"Publications, PyTorch, LaTeX, Mathematics, Algorithm Design, Statistics, Pandas",Overleaf,,Tech,Full-time,Singapore,Startup,215917,Hybrid
1043,NLP Engineer,Senior,14,PhD,"Data Analysis, Tokenization, APIs, Language Models, Transformers, Python","PyTorch, spaCy",Hugging Face Course,Tech,Full-time,"Sydney, Australia",Mid-size,202442,No
1044,Computer Vision Engineer,Mid,6,Bachelor's,"Deep Learning, Image Processing, APIs, CNNs, CUDA, Machine Learning, Computer Vision","PyTorch, CUDA",,Retail,Full-time,"Los Angeles, CA",Large,140162,No
1045,Data Engineer,Mid,5,PhD,"Pandas, SQL, Pipeline Design, Data Warehousing, ETL, Machine Learning, Spark, Cloud (AWS/GCP/Azure)","Spark, Kafka, dbt",,Tech,Full-time,"Amsterdam, Netherlands",Large,120438,Hybrid
1046,Data Engineer,Entry,2,Master's,"Hadoop, Python, SQL, Data Warehousing, Spark, Airflow, Kafka","Kafka, Airflow, dbt",AWS Data Analytics,Healthcare,Full-time,"Dublin, Ireland",Large,89680,No
1047,Data Analyst,Mid,6,PhD,"Power BI, Business Intelligence, Python, Problem Solving, Visualization, Deep Learning, Excel","Tableau, Looker, Google Sheets",Tableau Desktop Specialist,Education,Full-time,"Dublin, Ireland",Large,77607,Yes
1048,Computer Vision Engineer,Mid,6,Master's,"CNNs, Object Detection, Image Processing, Scikit-learn, Deep Learning, Computer Vision","CUDA, PyTorch, Roboflow",,Retail,Full-time,"Amsterdam, Netherlands",Mid-size,116497,Hybrid
1049,AI Researcher,Mid,4,PhD,"Algorithm Design, Mathematics, Visualization, Scikit-learn, Python","SLURM, Overleaf",ICLR Paper Publication,Finance,Full-time,"Austin, TX",Startup,157163,No
1050,AI Researcher,Entry,0,Bachelor's,"Cloud (AWS/GCP/Azure), Algorithm Design, Statistics, Scikit-learn, Deep Learning, Research, Python, LaTeX","Weights & Biases, PyTorch",NeurIPS Paper,Finance,Full-time,"Atlanta, GA",Mid-size,118513,Hybrid
1051,AI Researcher,Senior,9,Bachelor's,"Experimentation, Excel, Research, Deep Learning, Statistics","Weights & Biases, SLURM",NeurIPS Paper,Robotics,Full-time,Singapore,Startup,238810,Hybrid
1052,Data Engineer,Entry,1,Master's,"Kafka, Cloud (AWS/GCP/Azure), APIs, Pipeline Design, Hadoop, Spark",Redshift,,Logistics,Internship,"Los Angeles, CA",Startup,34875,Yes
1053,Quant Researcher,Senior,6,Bachelor's,"Financial Modeling, Python, R, Backtesting, Stochastic Calculus, Derivatives Pricing, Mathematics, Linux",QuantLib,FRM,Hedge Fund,Full-time,"Austin, TX",Mid-size,303165,Yes
1054,Quant Researcher,Senior,12,PhD,"Backtesting, Financial Modeling, Risk Modeling, Python, Mathematics","Python, KDB+",,Consulting,Remote,"New York, NY",Startup,257128,Yes
1055,Data Analyst,Senior,9,PhD,"Statistics, SQL, Reporting, Business Intelligence, Git, Tableau","Tableau, Power BI",,Education,Full-time,"Seattle, WA",Mid-size,134136,Yes
1056,NLP Engineer,Senior,13,PhD,"Python, NLP, Data Analysis, Deep Learning, NumPy, Tokenization, BERT","NLTK, FastAPI, spaCy",Hugging Face Course,Healthcare,Full-time,"Austin, TX",Mid-size,196431,Hybrid
1057,Data Analyst,Mid,4,Bachelor's,"Python, Linux, Tableau, Cloud (AWS/GCP/Azure), SQL, Excel, Visualization, Statistics","Google Sheets, Excel",Tableau Desktop Specialist,Healthcare,Full-time,"Denver, CO",Large,100336,Hybrid
1058,AI Researcher,Entry,0,Bachelor's,"Research, Statistics, Publications, Communication, Mathematics, LaTeX","JAX, SLURM",ICLR Paper Publication,Defense,Remote,"London, UK",Large,86937,Yes
1059,AI Product Manager,Senior,12,Master's,"Visualization, Deep Learning, Agile, Product Management, Strategy, Stakeholder Management",Figma,CSPO,Tech,Part-time,"Boston, MA",Large,106660,No
1060,Computer Vision Engineer,Mid,2,Master's,"CNNs, TensorFlow, NumPy, Python, Computer Vision, SQL, Object Detection","OpenCV, TensorFlow, Roboflow",NVIDIA DLI,Defense,Remote,"Seattle, WA",Mid-size,156658,Yes
1061,Data Engineer,Mid,4,Bachelor's,"Hadoop, Visualization, ETL, Airflow, SQL","Spark, Airflow, Redshift",GCP Professional Data Engineer,E-commerce,Remote,"San Francisco, CA",Startup,130148,Yes
1062,Data Analyst,Mid,4,Bachelor's,"Python, SQL, Reporting, Business Intelligence, Machine Learning, Power BI","Tableau, Google Sheets",,Finance,Full-time,"New York, NY",Mid-size,96192,No
1063,ML Engineer,Mid,6,Bachelor's,"Docker, Machine Learning, Python, CI/CD, Cloud (AWS/GCP/Azure), Scikit-learn, Problem Solving, Kubernetes","Kubernetes, FastAPI, PyTorch",GCP Professional ML,Healthcare,Full-time,"Bangalore, India",Large,125297,Yes
1064,Data Scientist,Mid,6,Master's,"Scikit-learn, Statistics, Pandas, Deep Learning, SQL, Python, Feature Engineering","Spark, scikit-learn",Google Professional ML Engineer,E-commerce,Full-time,"Paris, France",Large,109002,Yes
1065,Data Analyst,Entry,2,Master's,"Tableau, Machine Learning, SQL, Communication, Power BI, Excel, Python, Business Intelligence",Google Sheets,Tableau Desktop Specialist,Finance,Full-time,"Austin, TX",Large,67560,Yes
1066,NLP Engineer,Mid,6,Master's,"Scikit-learn, Transformers, Hugging Face, PyTorch, Text Processing, BERT, Machine Learning","spaCy, NLTK",,Tech,Full-time,"New York, NY",Mid-size,140946,No
1067,AI Researcher,Mid,2,Bachelor's,"LaTeX, PyTorch, Publications, Research, Git, NumPy",JAX,NeurIPS Paper,Finance,Remote,"Los Angeles, CA",Mid-size,172994,Yes
1068,Quant Researcher,Mid,4,PhD,"Statistics, Mathematics, Derivatives Pricing, Machine Learning, Risk Modeling, Backtesting","Python, Bloomberg, QuantLib",FRM,Consulting,Contract,"New York, NY",Large,162911,No
1069,NLP Engineer,Mid,3,Bachelor's,"Linux, Hugging Face, Problem Solving, Python, APIs, PyTorch","FastAPI, NLTK",DeepLearning.AI NLP,Legal,Full-time,"Amsterdam, Netherlands",Large,118487,Yes
1070,AI Researcher,Entry,2,Bachelor's,"Statistics, Experimentation, Python, LaTeX, PyTorch, Linux, Publications, Mathematics","JAX, SLURM, PyTorch",,Tech,Remote,"Los Angeles, CA",Mid-size,105102,Yes
